stay_id,stay_added,start_date,end_date,duration,pet_total,service_type,owner_id,sitter_id,new_to_rover,booking_total_usd,postal_code
458923,2015-10-01 12:56:23,2015-10-03,2015-10-04,1,1,overnight-traveling,948132,251080,0,30,27705
310466,2015-10-01 12:56:37,2015-10-02,2015-10-04,2,1,overnight-boarding,776364,264578,0,50,29617
313497,2015-10-01 12:59:08,2015-10-03,2015-10-04,1,1,overnight-boarding,768541,13704,0,35,20009
313426,2015-10-01 13:03:05,2015-10-03,2015-10-04,1,1,overnight-boarding,575968,568205,0,30,11704
312933,2015-10-01 13:03:56,2015-10-13,2015-10-24,11,2,overnight-boarding,1007826,176406,0,539,90260
313525,2015-10-01 13:05:18,2015-10-02,2015-10-04,2,1,overnight-boarding,397575,637314,0,53.98,33613
457869,2015-10-01 13:06:33,2015-10-02,2015-10-12,10,1,overnight-traveling,480029,701954,0,250,98102
301281,2015-10-01 13:09:05,2015-11-25,2015-11-29,4,1,overnight-boarding,1024564,505250,0,140,60201
457460,2015-10-01 13:15:09,2015-10-09,2015-10-15,6,1,overnight-traveling,576052,809320,0,138,60626
313103,2015-10-01 13:15:33,2015-10-01,2015-10-07,6,1,overnight-boarding,671727,982874,0,120,60640
312446,2015-10-01 13:16:28,2015-10-04,2015-10-08,4,1,overnight-boarding,972744,945337,1,80,49686
299708,2015-10-01 13:17:41,2015-10-01,2015-10-10,9,1,overnight-boarding,476058,359715,0,225,91942
312145,2015-10-01 13:18:03,2015-10-18,2015-10-31,13,1,overnight-boarding,1045591,184065,1,420,29708
313389,2015-10-01 13:19:36,2015-11-10,2015-11-23,13,1,overnight-boarding,174910,156092,0,468,7008
312972,2015-10-01 13:23:45,2015-10-02,2015-10-05,3,2,overnight-boarding,386839,132321,0,120,30316
311590,2015-10-01 13:24:07,2015-10-05,2015-10-08,3,1,overnight-boarding,729165,363157,0,90,60201
310039,2015-10-01 13:24:38,2015-10-09,2015-10-13,4,1,overnight-boarding,1041227,249876,1,151.2,78739
313335,2015-10-01 13:25:40,2015-10-16,2015-10-18,2,1,overnight-boarding,203518,745004,1,56,20015
303743,2015-10-01 13:26:00,2015-10-24,2015-10-25,1,1,overnight-boarding,203518,745004,0,28,20015
307553,2015-10-01 13:26:37,2015-11-25,2015-11-29,4,1,overnight-boarding,1036546,1014226,1,176,7869
312309,2015-10-01 13:29:04,2015-10-07,2015-10-09,2,1,overnight-boarding,979249,838566,0,56,78757
309423,2015-10-01 13:29:56,2015-10-07,2015-10-14,7,1,overnight-boarding,996434,960195,0,175,20002
307210,2015-10-01 13:29:59,2015-10-20,2015-10-25,5,2,overnight-boarding,954951,57521,1,200,30092
312512,2015-10-01 13:30:09,2015-10-10,2015-10-10,1,1,overnight-boarding,979249,838566,0,28,78757
313028,2015-10-01 13:31:20,2015-10-01,2015-10-05,4,1,overnight-boarding,485164,142430,1,160,1876
313539,2015-10-01 13:32:55,2015-10-01,2015-10-02,1,1,overnight-boarding,897420,228212,0,39,60506
312263,2015-10-01 13:35:32,2015-10-02,2015-10-03,1,1,overnight-boarding,1045820,753043,1,28.24,61103
310339,2015-10-01 13:35:49,2015-10-01,2015-10-04,3,2,overnight-boarding,749090,605591,0,135,2152
